"days2100","period_type","gtin_classifier_id","gtin_cluster_id","sid_classifier_id","sid_cluster_id","cnt","price","selling_distribution"
-28642,m,1,1855,2,57,644,18652928,50.6066
-28642,m,1,1855,2,58,2163,59408608,67.9272
-28642,m,1,1860,2,43,96,9861970.0,17.4041
-28642,m,1,1861,2,42,294,19766452,20.9790
-28642,m,1,1866,2,21,259,828673.0,23.4043
-28642,m,1,1869,2,1,951,30607420,27.1992
-28642,m,1,1869,2,43,41,1317887.0,6.1947
-28642,m,1,1873,2,8,5659,19261690,85.8824
-28642,m,1,1873,2,83,123,127668.0,19.1489
-28642,m,1,1876,2,2,638,8218543.0,15.4391
-28642,m,1,1876,2,84,38,499122.0,7.4786
-28642,m,1,1884,2,67,1160,48862788,28.5545
-28642,m,1,1892,2,31,1197,4640434.0,25.8373
-28642,m,1,1893,2,65,143,682510.0,3.5775
-28642,m,1,1895,2,11,275,9494838.0,12.3957
-28642,m,1,1898,2,4,668,21357304,43.5612
-28642,m,1,1906,2,22,829,14446702,54.1667
-28642,m,1,1912,2,73,125,1202836.0,26.8199
-28642,m,1,1926,2,74,39,700034.0,7.1207
-28642,m,1,1928,2,30,15,137090.0,2.0772
-28642,m,1,1931,2,59,100,144441.0,2.4096
-28642,m,1,1938,2,15,6,143556.0,1.1650
-28642,m,1,1947,2,52,46,7732651.0,2.1077
-28642,m,1,1947,2,63,21,3156000.0,3.5623
-28642,m,1,1964,2,36,19365,43443872,53.0602
-28642,m,1,1964,2,57,10882,22168290,66.3778
-28642,m,1,1964,2,61,418,1333095.0,38.7879
-28642,m,1,1965,2,75,58,640260.0,12.1951
-28642,m,1,1966,2,19,367,4354387.0,23.6650
-28642,m,1,1966,2,40,268,3241336.0,15.3310
-28642,m,1,1977,2,66,12,783730.0,4.1916
-28642,m,1,1979,2,8,8,839573.0,1.9608
-28642,m,1,1981,2,43,7,292585.0,1.4749
-28642,m,1,1983,2,6,40,1751873.0,5.4496
-28642,m,1,1986,2,20,56,10909570,25.0000
-28642,m,1,1994,2,4,414,5535658.0,23.2114
-28642,m,1,1995,2,8,359,15129006,38.4314
-28642,m,1,1995,2,31,2333,82628984,76.2360
-28642,m,1,2000,2,66,1214,1945917.0,53.2934
-28642,m,1,2001,2,51,889,2971965.0,43.5583
-28642,m,1,2010,2,62,193,6209002.0,12.2402
-28642,m,1,2012,2,20,17,320029.0,8.3333
-28642,m,1,2013,2,35,11,457650.0,15.0000
-28642,m,1,2016,2,16,13,562314.0,0.6557
-28642,m,1,2020,2,34,47,2026660.0,7.9365
-28642,m,1,2021,2,12,49,162380.0,4.4146
